# Wordlist

# DATA
ID	DOCULECT	CONCEPT	IPA	COGID
251	San	breasts (fem)	(bṙst)	109
252	oIr	breasts (fem)	cích	110
253	rIr	breasts (fem)	cíoch	110
254	Itn	breasts (fem)	mammella	111
255	Lat	breasts (fem)	mammae	111
256	Alb	breasts (fem)	[gji]L	112
257	aGr	breasts (fem)	μαστός	113
258	rGr	breasts (fem)	μαστός	113
259	Arm	breasts (fem)	kurçk’	114
260	San	breasts (fem)	P( uras)	114
261	Hnd	breasts (fem)	(chātī)	114
262	Arm	breasts (fem)	došikner	115
263	Hit	breasts (fem)	(tētan )	115
264	oIr	breasts (fem)	([ucht])	116
265	rIr	breasts (fem)	([ucht])	116
266	Itn	breasts (fem)	(pectus)	116
267	Lat	breasts (fem)	(petto)	116
#
268	Rus	burn	žeč{tr}	117
269	Lit	burn	dèg-ù/ti  (deg-inti)	117
270	Lat	burn	(foveo)	117
271	Alb	burn	djeg	117
272	ToB	burn	(tsäk {vt})	117
273	Ave	burn	dažaiti	117
274	San	burn	dáh-ati	117
275	Rus	burn	(vьritь)	118
276	Lit	burn	(vérda)	118
277	Arm	burn	vaṙ-im/ vel	118
278	Hit	burn	u(w)ar-nu	118
279	Rus	burn	гореть	119
280	Lit	burn	(gariù ?)	119
281	Lat	burn	(fornus)	119
282	Arm	burn	(ǰer)	119
283	oIs	burn	brenna	120
284	Bkm	burn	brenne	120
285	oIr	burn	las-aid?	121
286	aGr	burn	αἵθομαι {t/i}	121
287	ToB	burn	(sälp)	121
288	San	burn	(indhé)	121
289	oIr	burn	(dóïd)	122
290	rIr	burn	dói-gh	122
291	aGr	burn	(δαίω, δέδηε ) {t/i}	122
292	Ave	burn	(θaw-/θū)	122
293	San	burn	dunóti	122
294	oIr	burn	loiscid?	123
295	Itn	burn	ardere	123
296	Lat	burn	ārdeō	123
297	aGr	burn	καίω	124
298	rGr	burn	καίγομαι	124
299	Arm	burn	ayr-vel	125
300	ToB	burn	pälk-etär	126
301	Ave	burn	(saok)	126
302	aGr	burn	αἵθομαι {t/i}	127
303	ToB	burn	(sälp)	127
304	San	burn	(indhé)	127
305	Hnd	burn	jalnā	127
306	Itn	burn	(bruciare, tr)	128
307	Lat	burn	St: ūrō {t?}	128
308	Alb	burn	(ethe)	128
309	aGr	burn	(εὕω)	128
310	Ave	burn	(by-ūvā’re)	128
311	San	burn	óṣ(ati)	128
#
312	Rus	cloud	(nebo-)	129
313	Lit	cloud	debesìs	129
314	oIr	cloud	nél	129
315	rIr	cloud	(neal)	129
316	Lat	cloud	(nebula)	129
317	aGr	cloud	νέφος	129
318	rGr	cloud	(σύν)νεφο(ς)	129
319	Arm	cloud	amp	129
320	Hit	cloud	(nepis-)	129
321	Ave	cloud	CG(aβrəm)	129
322	San	cloud	(abhrá)	129
323	aGr	cloud	(ὀμίχλη)	130
324	Ave	cloud	maēɣa	130
325	San	cloud	mēghá	130
326	Rus	cloud	о́блакo	131
327	oIs	cloud	ský	132
328	Bkm	cloud	ský	132
329	rIr	cloud	scamall	133
330	Itn	cloud	nuvola	134
331	Lat	cloud	nūbēs	134
332	aGr	cloud	(νυθόν)	134
333	Ave	cloud	(snaođa)	134
334	Alb	cloud	re-ja	135
335	Hit	cloud	alpa ?	136
336	ToB	cloud	B tarkär	137
